mfl_id,fantasypros_id,name,position,age,ecr,team
11227,11611,Kenny Stills,WR,27.9,167.5,HOU
13613,17271,Jaylen Samuels,RB,23.6,167.9,PIT
9075,9186,DeSean Jackson,WR,33.3,168.1,PHI
7393,9383,Larry Fitzgerald,WR,36.5,169.2,ARI
14143,18631,Dawson Knox,TE,23.3,170.3,BUF
13793,17528,Marquez Valdes-Scantling,WR,25.4,170.9,GBP
13236,16459,Gerald Everett,TE,25.7,171,LAR
13679,17536,Chris Herndon,TE,24,171.7,NYJ
12197,13975,Breshad Perriman,WR,26.5,171.8,TBB
13634,17264,Dante Pettis,WR,24.4,173.1,SFO
13193,16460,Jonnu Smith,TE,24.5,173.9,TEN
13620,17300,Justin Jackson,RB,24.9,174.2,LAC
14057,18225,Drew Lock,QB,23.3,175.6,DEN
14072,18609,Benny Snell,RB,22,177.2,PIT
13632,17301,Allen Lazard,WR,24.2,179.3,GBP
14116,18318,Jalen Hurd,WR,24.1,179.6,SFO
10708,11185,Lamar Miller,RB,28.9,181.9,HOU
13768,17249,Ito Smith,RB,24.5,182.2,ATL
14106,18229,Hakeem Butler,WR,23.8,182.8,ARI
14093,18521,Ryquell Armstead,RB,23.3,183,JAC
